Name,Description,State,Priority,Labels,Start Date,Target Date,Estimate,Module,Cycle
"Schema: user_id em reservations + RLS cliente","Migration adicionando user_id nullable em reservations com FK auth.users e ON DELETE SET NULL. Index parcial. Nova RLS policy permitindo SELECT quando user_id = auth.uid(). Idempotente.",Todo,Urgent,"priority:p0,type:debt,area:infra",2026-05-02,2026-05-02,1,Área do Cliente,Sprint 8 - Área do Cliente
"Autenticação: páginas de login + callback magic link","/entrar com input de email + server action requestLoginLink. /entrar/callback consome token Supabase e redireciona. Rate limit 3/min por IP. Mensagens de erro amigáveis. Tema dark Parrilla.",Todo,Urgent,"priority:p0,type:feature,area:public",2026-05-02,2026-05-03,3,Área do Cliente,Sprint 8 - Área do Cliente
"Middleware: proteção de /minhas-reservas","Estende middleware.ts para redirect /minhas-reservas/* -> /entrar quando sem sessão. Respeita ?redirect= no callback. /entrar e /entrar/callback permanecem públicos.",Todo,Urgent,"priority:p0,type:security,area:public",2026-05-03,2026-05-03,0.5,Área do Cliente,Sprint 8 - Área do Cliente
"Página Minhas reservas (listagem)","/minhas-reservas lista reservas do usuário logado agrupadas em Próximas e Histórico. Cards com data, hora, espaço (emoji + nome), pessoas, código e status. Próxima reserva em destaque (borda amarela). Empty state amigável. Tema dark Parrilla.",Todo,High,"priority:p1,type:feature,area:public",2026-05-04,2026-05-06,3,Área do Cliente,Sprint 8 - Área do Cliente
"Detalhe da reserva + cancelamento","/minhas-reservas/[codigo] mostra todos os dados. Botões: cancelar (server action valida user_id), adicionar ao calendário (.ics com timezone), WhatsApp do restaurante. UI atualiza após cancelar.",Todo,High,"priority:p1,type:feature,area:public",2026-05-06,2026-05-07,2,Área do Cliente,Sprint 8 - Área do Cliente
"Vincular nova reserva ao usuário logado","createReservationAction lê supabase.auth.getUser(). Se logado, passa userId para createReservation; lib grava user_id no insert. Fluxo anônimo continua funcionando.",Todo,Medium,"priority:p2,type:feature,area:public",2026-05-07,2026-05-07,0.5,Área do Cliente,Sprint 8 - Área do Cliente
"Resgatar reserva feita antes do cadastro","Form em /minhas-reservas (código + WhatsApp) para associar conta a reserva antiga. Server action valida o par, seta user_id. Rate limit 5 tentativas/min. Reserva só pode ser resgatada 1 vez.",Todo,Medium,"priority:p2,type:feature,area:public",2026-05-07,2026-05-08,1,Área do Cliente,Sprint 8 - Área do Cliente
"Header navegacional com login/logout","PublicHeader.tsx server component. Logo da Parrilla à esquerda. Botão Entrar se não logado; avatar + dropdown (Minhas reservas + Sair) se logado. Mobile com hambúrguer. Aplica em /, /reservar, /minhas-reservas.",Todo,High,"priority:p1,type:feature,area:public",2026-05-05,2026-05-06,2,Área do Cliente,Sprint 8 - Área do Cliente
"Email template customizado (magic link)","Personaliza template Magic Link no Supabase Dashboard. Tema dark com logo SVG, botão amarelo, assinatura Equipe Parrilla 8187, link se não foi você ignore. Documentar onde editar no runbook.",Todo,Low,"priority:p3,type:feature,area:public",2026-05-08,2026-05-08,0.5,Área do Cliente,Sprint 8 - Área do Cliente
"CTA Salvar reserva na minha conta apos confirmação","Novo card em ConfirmacaoScreen após código. Botão Criar acesso rápido leva a /entrar?email=X&resgatar=CODIGO. Após login, automaticamente vincula reserva.",Todo,Medium,"priority:p2,type:feature,area:public",2026-05-08,2026-05-09,1,Área do Cliente,Sprint 8 - Área do Cliente
